Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
15,B-0011,235538,2019,Audi,Q7,Prestige,GRAY,83818,No,"",2026-08-06,B
15,C-0016,234689,2026,Tesla,Model Y,Premium,GRAY,17847,Yes,4.6,2026-08-06,C
18,D-0022,235377,2020,BMW,M4,CS,WHITE,72928,Yes,3.1,2026-08-06,D
20,D-0027,235547,2024,Ford,Edge,SEL,BLACK,65333,Yes,3.7,2026-08-06,D
23,D-0031,235632,2023,Land Rover,Range Rover Sport,SE,BLACK,21628,Yes,4.2,2026-08-06,D
25,D-0055,235525,2022,Mercedes-Benz,GLC,300 4MATIC SUV,BLACK,68989,Yes,3.6,2026-08-06,D
17,D-0058,235025,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,13615,Yes,4.4,2026-08-06,D
17,D-0059,235027,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,13019,Yes,4.4,2026-08-06,D
16,D-0060,235045,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,10978,Yes,4.4,2026-08-06,D
14,D-0061,234933,2026,Audi,Q8,Prestige,WHITE,5664,Yes,5.0,2026-08-06,D
19,D-0094,234888,2020,Jeep,Wrangler,Unlimited Sport Altitude,RED,67642,Yes,3.5,2026-08-06,D
21,D-0096,234624,2024,BMW,X5,XDrive40i,BLUE,29320,Yes,3.7,2026-08-06,D
20,D-0102,235320,2023,Ford,F150,XLT,WHITE,11225,Yes,4.5,2026-08-06,D
30,D-0103,235321,2023,Land Rover,Range Rover Sport,SE Dynamic,RED,40717,Yes,4.0,2026-08-06,D
17,D-0108,234756,2022,Land Rover,Range Rover Sport,SVR,BLACK,80274,Yes,3.9,2026-08-06,D
23,D-0130,234980,2020,Audi,SQ5,Premium Plus,BLACK,85432,Yes,3.9,2026-08-06,D
30,D-0133,234720,2023,Mercedes-Benz,GLE,350 4MATIC,GREEN,33581,Yes,3.1,2026-08-06,D
28,D-0141,235094,2021,Chevrolet,Spark,1LT,SILVER,69210,Yes,3.1,2026-08-06,D
14,D-0144,234270,2018,Ram,1500,Laramie,WHITE,164037,Yes,3.4,2026-08-06,D
24,D-0156,235507,2017,Ford,F350SD,Lariat,BLUE,65340,Yes,3.6,2026-08-06,D
26,D-0166,1007162,2026,BMW,X5,XDrive40i,WHITE,21781,Yes,4.6,2026-08-06,D
21,D-0168,234048,2011,Ford,F150,XLT,TAN,169744,Yes,4.2,2026-08-06,D
25,D-0185,234844,2015,Honda,CR-V,LX,GRAY,103301,Yes,2.9,2026-08-06,D
52,DD-0017,1007060,2016,Honda,Pilot,EX-L,SILVER,251094,Yes,1.0,2026-08-06,DD
